d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.126, 0.845, 0.885, 0.828]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.004', '0.992', '0.002']",start,Reject,M3_c,Reject_M3_c
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.053, 0.837, 0.769, 0.829]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.004', '0.976', '0.016']",start,Reject,M2_d,Reject_M2_d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.155, 0.765, 0.703, 0.818]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.002', '0.988', '0.008']",start,Reject,M3_d,Reject_M3_d
multimodal,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.072, 0.857, 0.982, 0.88]",M3,"['0.001', '0.002', '0.997', '0.001']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M2[hig1.00|k=start] -> M2[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[min0.25|k=final],4,-44.0,M3,"['0.001', '0.002', '0.997', '0.001']",start,Reject,M3_c,Reject_M3_c
structured,verification,high-risk,EU_only,start,insufficient,"[0.096, 0.926, 0.796, 0.974]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M3[hig0.86|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.027', '0.049', '0.858', '0.066']",start,Reject,M3_d,Reject_M3_d
unstructured_text,categorisation,false,inadequate_SCC,start,suboptimal,"[0.129, 0.962, 0.924, 0.818]",M4,"['0.015', '0.025', '0.046', '0.914']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M4[ban0.91|k=start] -> M4[ban0.91|k=start] -> M4[ban0.91|k=start] -> M4[ban0.91|k=start] -> M4[min0.25|k=final],4,31.0,M4,"['0.015', '0.025', '0.046', '0.914']",start,Reject,M4_d,Reject_M4_d
multimodal,none,false,adequacy,start,insufficient,"[0.189, 0.759, 0.887, 0.828]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.40|k=start] -> M3[hig0.58|k=start] -> M2[hig0.49|k=start] -> M3[hig0.63|k=start] -> M2[hig0.94|k=evidence] -> M2[min0.25|k=final],5,-34.65,M2,"['0.001', '0.053', '0.938', '0.007']",evidence,Reject,M2_b,Reject_M2_b
multimodal,none,false,EU_only,start,insufficient,"[0.151, 0.805, 0.798, 0.984]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.37|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M1[min0.87|k=evidence] -> M1[min0.25|k=final],5,55.62,M1,"['0.871', '0.060', '0.053', '0.016']",evidence,Accept,M1_b,Accept_M1_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.055, 0.81, 0.829, 0.881]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.007', '0.987', '0.003']",start,Reject,M2_b,Reject_M2_b
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.176, 0.842, 0.82, 0.707]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-59.0,M2,"['0.003', '0.005', '0.982', '0.010']",start,Reject,M2_c,Reject_M2_c
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.194, 0.884, 0.965, 0.836]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.78|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,-34.83,M2,"['0.000', '0.017', '0.983', '0.000']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.138, 0.768, 0.853, 0.873]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M1[ban0.30|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,-59.84,M2,"['0.000', '0.011', '0.984', '0.005']",evidence,Reject,M2_c,Reject_M2_c
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.053, 0.79, 0.875, 0.905]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M4[ban0.94|k=start] -> M4[ban0.94|k=start] -> M4[ban0.94|k=start] -> M4[ban0.94|k=start] -> M4[min0.25|k=final],4,31.0,M4,"['0.002', '0.002', '0.057', '0.938']",start,Reject,M4_c,Reject_M4_c
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.018, 0.894, 0.937, 0.79]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.96|k=start] -> M2[ban0.49|k=start] -> M3[hig0.72|k=start] -> M3[hig0.72|k=start] -> M4[ban0.89|k=evidence] -> M4[min0.25|k=final],5,45.53,M4,"['0.000', '0.001', '0.106', '0.892']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,EU_only,start,insufficient,"[0.096, 0.71, 0.925, 0.922]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.55|k=evidence] -> M1[min0.89|k=evidence] -> M1[min0.25|k=final],6,40.05,M1,"['0.887', '0.007', '0.006', '0.100']",evidence,Reject,M1_b,Reject_M1_b
