d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.187, 0.825, 0.721, 0.799]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M2[hig0.84|k=start] -> M1[hig0.76|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.11,M2,"['0.000', '0.002', '0.998', '0.000']",evidence,Reject,M2_c,Reject_M2_c
multimodal,categorisation,false,adequacy,start,insufficient,"[0.019, 0.845, 0.883, 0.746]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M3[hig0.72|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-74.86,M2,"['0.002', '0.005', '0.990', '0.002']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,verification,high-risk,inadequate_SCC,start,insufficient,"[0.182, 0.808, 0.881, 0.867]",M3,"['0.020', '0.056', '0.876', '0.048']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.020', '0.056', '0.876', '0.048']",start,Reject,M3_c,Reject_M3_c
unstructured_text,none,false,adequacy,start,insufficient,"[0.065, 0.911, 0.898, 0.798]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-49.87,M2,"['0.000', '0.006', '0.994', '0.000']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.185, 0.866, 0.86, 0.775]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.77|k=start] -> M1[hig0.72|k=start] -> M1[hig0.72|k=start] -> M1[hig0.72|k=start] -> M1[min0.79|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-75.91,M2,"['0.001', '0.007', '0.992', '0.001']",evidence,Reject,M2_b,Reject_M2_b
structured,categorisation,false,EU_only,start,insufficient,"[0.12, 0.708, 0.865, 0.848]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.52|k=start] -> M2[hig0.45|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,-35.4,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_d,Reject_M3_d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.156, 0.859, 0.958, 0.895]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.52|k=start] -> M2[hig0.35|k=start] -> M3[hig0.44|k=start] -> M2[ban0.34|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-69.9,M3,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M3_d,Reject_M3_d
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.094, 0.856, 0.943, 0.77]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.001', '0.002', '0.993', '0.005']",start,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,non_compliant,start,optimal,"[0.022, 0.984, 0.941, 0.907]",M3,"['0.003', '0.002', '0.993', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.007', '0.005', '0.985', '0.003']",start,Reject,M3_c,Reject_M3_c
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.051, 0.884, 0.883, 0.917]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.37|k=start] -> M3[hig0.37|k=start] -> M3[hig0.37|k=start] -> M3[hig0.37|k=start] -> M4[ban0.76|k=evidence] -> M2[hig0.97|k=evidence] -> M2[min0.25|k=final],6,-50.71,M2,"['0.000', '0.016', '0.972', '0.012']",evidence,Reject,M2_c,Reject_M2_c
image,none,false,EU_only,start,insufficient,"[0.062, 0.762, 0.977, 0.9]",M1,"['0.215', '0.237', '0.194', '0.354']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[min0.68|k=evidence] -> M1[min0.97|k=evidence] -> M1[min0.25|k=final],6,-90.38,M1,"['0.970', '0.019', '0.001', '0.010']",evidence,Reject,M1_b,Reject_M1_b
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.2, 0.708, 0.809, 0.847]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.55|k=evidence] -> M1[min0.87|k=evidence] -> M1[min0.25|k=final],6,70.12,M1,"['0.871', '0.113', '0.001', '0.015']",evidence,Accept,M1_a,Accept_M1_a
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.117, 0.91, 0.705, 0.929]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.002', '0.004', '0.988', '0.007']",start,Reject,M3_d,Reject_M3_d
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.189, 0.84, 0.836, 0.947]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.90|k=start] -> M3[hig0.94|k=start] -> M3[hig0.94|k=start] -> M3[hig0.94|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.009', '0.023', '0.942', '0.025']",start,Reject,M3_d,Reject_M3_d
structured,verification,high-risk,non_compliant,start,insufficient,"[0.159, 0.896, 0.885, 0.938]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.95|k=start] -> M2[hig0.87|k=start] -> M2[hig0.87|k=start] -> M2[hig0.87|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.023', '0.054', '0.865', '0.058']",start,Reject,M2_c,Reject_M2_c
image,categorisation,false,EU_only,start,insufficient,"[0.164, 0.915, 0.959, 0.923]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.51|k=start] -> M1[ban0.30|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.88,M2,"['0.000', '0.004', '0.994', '0.002']",evidence,Reject,M2_c,Reject_M2_c
video,verification,high-risk,non_compliant,start,insufficient,"[0.026, 0.864, 0.986, 0.765]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M2[hig0.95|k=start] -> M3[hig0.96|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.005', '0.016', '0.963', '0.016']",start,Reject,M3_d,Reject_M3_d
structured,verification,high-risk,adequacy,start,suboptimal,"[0.054, 0.838, 0.918, 0.966]",M2,"['0.040', '0.139', '0.801', '0.020']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.80|k=start] -> M1[hig0.74|k=start] -> M1[hig0.74|k=start] -> M1[hig0.74|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-34.85,M2,"['0.012', '0.001', '0.987', '0.000']",evidence,Reject,M2_c,Reject_M2_c
image,none,false,non_compliant,start,insufficient,"[0.016, 0.96, 0.888, 0.745]",M3,"['0.085', '0.115', '0.569', '0.231']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.57|k=start] -> M2[hig0.39|k=start] -> M2[hig0.39|k=start] -> M3[hig0.48|k=start] -> M4[ban0.94|k=evidence] -> M4[min0.25|k=final],5,45.35,M4,"['0.000', '0.000', '0.061', '0.938']",evidence,Reject,M4_d,Reject_M4_d
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.057, 0.893, 0.964, 0.745]",M2,"['0.001', '0.002', '0.990', '0.006']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.001', '0.001', '0.994', '0.004']",start,Reject,M3_c,Reject_M3_c
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.062, 0.775, 0.769, 0.742]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.52|k=start] -> M2[ban0.52|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-44.9,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_c,Reject_M3_c
image,verification,high-risk,EU_only,start,insufficient,"[0.11, 0.953, 0.97, 0.793]",M2,"['0.035', '0.101', '0.785', '0.079']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.78|k=start] -> M2[hig0.78|k=start] -> M2[hig0.78|k=start] -> M2[hig0.78|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-99.89,M3,"['0.000', '0.002', '0.998', '0.000']",evidence,Reject,M3_c,Reject_M3_c
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.183, 0.986, 0.829, 0.926]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[min0.25|k=final],4,31.0,M4,"['0.004', '0.004', '0.011', '0.981']",start,Reject,M4_d,Reject_M4_d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.082, 0.919, 0.93, 0.763]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M1[hig0.75|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.11,M2,"['0.000', '0.003', '0.997', '0.000']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.128, 0.912, 0.752, 0.827]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M3[hig0.67|k=start] -> M2[hig0.62|k=evidence] -> M4[ban1.00|k=evidence] -> M4[min0.25|k=final],6,54.62,M4,"['0.002', '0.000', '0.002', '0.995']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.125, 0.934, 0.714, 0.78]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.32|k=start] -> M3[hig0.32|k=start] -> M3[hig0.32|k=start] -> M2[ban0.35|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,45.1,M3,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M3_c,Reject_M3_c
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.165, 0.788, 0.73, 0.866]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.77|k=start] -> M3[hig0.86|k=start] -> M2[hig0.82|k=start] -> M2[hig0.82|k=start] -> M4[ban0.71|k=evidence] -> M4[hig0.66|k=evidence] -> M2[hig0.99|k=proposed] -> M2[min0.25|k=final],7,-38.6,M2,"['0.001', '0.011', '0.987', '0.001']",proposed,Reject,M2_b,Reject_M2_b
multimodal,remote_id,high-risk,non_compliant,start,suboptimal,"[0.036, 0.831, 0.87, 0.96]",M3,"['0.000', '0.001', '0.999', '0.000']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig1.00|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.001', '0.002', '0.996', '0.001']",start,Reject,M2_c,Reject_M2_c
unstructured_text,none,false,EU_only,start,insufficient,"[0.162, 0.825, 0.874, 0.715]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.76|k=evidence] -> M2[hig0.96|k=evidence] -> M2[min0.25|k=final],6,-90.7,M2,"['0.001', '0.035', '0.962', '0.002']",evidence,Reject,M2_c,Reject_M2_c
image,categorisation,false,non_compliant,start,insufficient,"[0.079, 0.726, 0.831, 0.857]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.97|k=start] -> M2[ban0.50|k=start] -> M2[ban0.50|k=start] -> M1[ban0.30|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-19.89,M2,"['0.000', '0.002', '0.997', '0.000']",evidence,Reject,M2_c,Reject_M2_c
multimodal,remote_id,high-risk,EU_only,start,suboptimal,"[0.028, 0.973, 0.942, 0.828]",M2,"['0.002', '0.003', '0.993', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_accept,M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-89.0,M2,"['0.002', '0.003', '0.993', '0.002']",start,Accept,M2_b,Accept_M2_b
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.173, 0.827, 0.848, 0.906]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.003', '0.005', '0.982', '0.010']",start,Reject,M2_c,Reject_M2_c
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.171, 0.826, 0.754, 0.838]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[min0.25|k=final],4,-59.0,M3,"['0.008', '0.017', '0.947', '0.029']",start,Reject,M3_d,Reject_M3_d
structured,none,false,EU_only,start,insufficient,"[0.19, 0.9, 0.819, 0.839]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[min0.64|k=evidence] -> M1[min0.90|k=evidence] -> M1[min0.25|k=final],6,-50.01,M1,"['0.903', '0.004', '0.012', '0.082']",evidence,Reject,M1_a,Reject_M1_a
image,remote_id,high-risk,non_compliant,start,suboptimal,"[0.031, 0.858, 0.912, 0.823]",M3,"['0.001', '0.002', '0.997', '0.001']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.59|k=evidence] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],6,-20.31,M2,"['0.007', '0.013', '0.977', '0.003']",evidence,Reject,M2_c,Reject_M2_c
video,remote_id,high-risk,EU_only,start,insufficient,"[0.037, 0.763, 0.7, 0.715]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M1[hig0.60|k=evidence] -> M1[min0.88|k=evidence] -> M1[min0.25|k=final],6,-59.92,M1,"['0.880', '0.003', '0.117', '0.000']",evidence,Accept,M1_a,Accept_M1_a
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.01, 0.873, 0.793, 0.831]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M1[hig0.91|k=evidence] -> M1[min0.25|k=final],5,70.47,M1,"['0.055', '0.019', '0.908', '0.018']",evidence,Accept,M1_a,Accept_M1_a
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.071, 0.706, 0.971, 0.846]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.32|k=start] -> M2[ban0.35|k=start] -> M1[min0.38|k=start] -> M1[min0.38|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.88,M2,"['0.001', '0.005', '0.994', '0.000']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.166, 0.926, 0.887, 0.706]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M2[hig0.71|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,54.34,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_d,Reject_M3_d
structured,categorisation,false,EU_only,start,suboptimal,"[0.013, 0.827, 0.819, 0.919]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.95|k=start] -> M4[ban0.95|k=start] -> M2[ban0.50|k=start] -> M3[hig0.67|k=start] -> M4[ban0.98|k=evidence] -> M4[min0.25|k=final],5,45.19,M4,"['0.000', '0.000', '0.023', '0.976']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,EU_only,start,insufficient,"[0.101, 0.814, 0.762, 0.961]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-49.89,M2,"['0.000', '0.001', '0.998', '0.000']",evidence,Reject,M2_a,Reject_M2_a
unstructured_text,none,false,adequacy,start,insufficient,"[0.187, 0.752, 0.918, 0.955]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-49.89,M2,"['0.000', '0.002', '0.998', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,adequacy,start,optimal,"[0.017, 0.981, 0.955, 0.918]",M2,"['0.018', '0.014', '0.962', '0.006']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.96|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.010', '0.008', '0.978', '0.004']",start,Reject,M3_d,Reject_M3_d
image,remote_id,high-risk,adequacy,start,insufficient,"[0.157, 0.971, 0.981, 0.966]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.62|k=evidence] -> M1[min0.93|k=evidence] -> M1[min0.25|k=final],6,54.89,M1,"['0.926', '0.000', '0.014', '0.059']",evidence,Accept,M1_a,Accept_M1_a
image,none,false,adequacy,start,insufficient,"[0.127, 0.709, 0.855, 0.807]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[min0.63|k=evidence] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],6,-90.32,M2,"['0.002', '0.014', '0.980', '0.004']",evidence,Reject,M2_b,Reject_M2_b
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.038, 0.944, 0.891, 0.785]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.001', '0.001', '0.994', '0.004']",start,Reject,M2_c,Reject_M2_c
multimodal,categorisation,false,EU_only,start,insufficient,"[0.083, 0.909, 0.927, 0.719]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M3[hig0.72|k=start] -> M3[hig0.72|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-34.9,M2,"['0.001', '0.000', '0.999', '0.000']",evidence,Reject,M2_b,Reject_M2_b
video,remote_id,high-risk,non_compliant,start,insufficient,"[0.15, 0.841, 0.85, 0.812]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.001', '0.001', '0.996', '0.003']",start,Reject,M3_c,Reject_M3_c
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.181, 0.895, 0.958, 0.799]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.002', '0.002', '0.988', '0.008']",start,Reject,M3_d,Reject_M3_d
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.126, 0.827, 0.772, 0.832]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M1[ban0.30|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.1,M2,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M2_d,Reject_M2_d
multimodal,verification,high-risk,adequacy,start,insufficient,"[0.16, 0.984, 0.915, 0.727]",M2,"['0.014', '0.043', '0.910', '0.034']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.91|k=start] -> M1[hig0.79|k=start] -> M1[hig0.79|k=start] -> M1[hig0.79|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-74.87,M2,"['0.001', '0.005', '0.993', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.033, 0.736, 0.821, 0.968]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.004', '0.979', '0.013']",start,Reject,M2_b,Reject_M2_b
structured,verification,high-risk,non_compliant,start,insufficient,"[0.126, 0.969, 0.956, 0.73]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M2[hig0.87|k=start] -> M3[hig0.91|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.016', '0.035', '0.906', '0.043']",start,Reject,M3_d,Reject_M3_d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.085, 0.928, 0.841, 0.709]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=evidence] -> M1[hig0.88|k=evidence] -> M1[min0.25|k=final],6,-60.63,M1,"['0.116', '0.001', '0.882', '0.001']",evidence,Accept,M1_a,Accept_M1_a
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.055, 0.982, 0.725, 0.701]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.12,M2,"['0.000', '0.004', '0.995', '0.001']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.096, 0.887, 0.821, 0.97]",M3,"['0.001', '0.001', '0.997', '0.001']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.003', '0.005', '0.990', '0.003']",start,Reject,M2_c,Reject_M2_c
