current_state,action,next_state,count,total_from_state_action,transition_probability
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",168,1357,0.1238
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",135,422,0.3199
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",129,422,0.3057
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",125,422,0.2962
"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",96,171,0.5614
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",91,428,0.2126
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",80,891,0.0898
"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",75,171,0.4386
"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",59,72,0.8194
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",36,91,0.3956
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",29,91,0.3187
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",26,91,0.2857
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",14,422,0.0332
"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",13,72,0.1806
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",11,422,0.0261
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",8,422,0.019
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",2,2,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",1,1,1.0
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",1,1,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",1,2,0.5
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",1,1,1.0
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",1,1,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",1,2,0.5
