current_state,current_model,action,next_state,next_model,count,total_from_state_action,transition_probability
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,1386,4352,0.3185
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_d,Reject_M2_d,1256,9507,0.1321
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,1215,5652,0.215
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,1210,5652,0.2141
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,1146,5652,0.2028
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",M4,a_reject,Reject_M4_d,Reject_M4_d,1075,1203,0.8936
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_accept,Accept_M1_b,Accept_M1_b,1070,3584,0.2985
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_b,Reject_M2_b,989,3317,0.2982
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_accept,Accept_M2_c,Accept_M2_c,934,3144,0.2971
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_reject,Reject_M1_b,Reject_M1_b,862,1334,0.6462
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,829,2436,0.3403
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,828,1644,0.5036
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,816,1644,0.4964
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,812,2436,0.3333
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,795,2436,0.3264
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",M1,a_accept,Accept_M1_a,Accept_M1_a,746,1090,0.6844
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",M4,703,5652,0.1244
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_d,Reject_M3_d,697,1270,0.5488
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,697,5652,0.1233
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",M3,681,5652,0.1205
