d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
structured,categorisation,false,inadequate_SCC,start,suboptimal,"[0.058, 0.88, 0.956, 0.83]",M4,"['0.015', '0.025', '0.046', '0.914']",start,a_eval -> a_eval -> a_eval -> a_reject,M4 -> M3 -> M2 -> M4 -> Reject_M4_c,4,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,c
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.078, 0.864, 0.74, 0.807]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,verification,high-risk,EU_only,start,insufficient,"[0.111, 0.897, 0.788, 0.727]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.077, 0.829, 0.797, 0.922]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,verification,high-risk,non_compliant,start,insufficient,"[0.029, 0.777, 0.761, 0.984]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,verification,high-risk,non_compliant,start,insufficient,"[0.032, 0.859, 0.721, 0.888]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M4 -> Reject_M4_c,4,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-86,Reject,c
image,verification,high-risk,adequacy,start,insufficient,"[0.075, 0.703, 0.972, 0.877]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,categorisation,false,adequacy,start,insufficient,"[0.155, 0.731, 0.96, 0.836]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,verification,high-risk,adequacy,start,insufficient,"[0.176, 0.728, 0.788, 0.938]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M4 -> M3 -> M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,32,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.138, 0.873, 0.776, 0.773]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
multimodal,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.095, 0.802, 0.98, 0.894]",M3,"['0.006', '0.037', '0.953', '0.004']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.016, 0.733, 0.962, 0.872]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_c,7,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,c
video,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.18, 0.882, 0.902, 0.728]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,remote_id,high-risk,adequacy,start,suboptimal,"[0.067, 0.848, 0.878, 0.912]",M2,"['0.001', '0.003', '0.994', '0.001']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
multimodal,verification,high-risk,inadequate_SCC,start,insufficient,"[0.132, 0.78, 0.862, 0.908]",M3,"['0.006', '0.025', '0.951', '0.017']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.048, 0.965, 0.815, 0.777]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.055, 0.896, 0.813, 0.89]",M3,"['0.002', '0.006', '0.991', '0.001']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.112, 0.858, 0.757, 0.717]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,c
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.091, 0.787, 0.703, 0.928]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.117, 0.84, 0.782, 0.721]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.173, 0.773, 0.974, 0.732]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.183, 0.805, 0.735, 0.907]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,categorisation,false,adequacy,start,suboptimal,"[0.108, 0.847, 0.81, 0.819]",M4,"['0.017', '0.023', '0.023', '0.937']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.19, 0.84, 0.954, 0.987]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.017, 0.713, 0.816, 0.768]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M4 -> M4 -> M4 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
image,none,false,adequacy,start,suboptimal,"[0.101, 0.865, 0.926, 0.827]",M1,"['0.213', '0.474', '0.235', '0.078']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,M1 -> M1 -> M1 -> M1 -> M1 -> M1 -> Accept_M1_a,6,Accept_M1_a,"['0.250', '0.250', '0.250', '0.250']",final,40,Accept,a
unstructured_text,categorisation,false,non_compliant,start,suboptimal,"[0.011, 0.973, 0.812, 0.807]",M4,"['0.010', '0.012', '0.081', '0.897']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,categorisation,false,adequacy,start,insufficient,"[0.052, 0.738, 0.911, 0.98]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,non_compliant,start,suboptimal,"[0.108, 0.882, 0.874, 0.872]",M4,"['0.010', '0.012', '0.081', '0.897']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.117, 0.712, 0.771, 0.719]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,categorisation,false,adequacy,start,suboptimal,"[0.127, 0.823, 0.926, 0.982]",M4,"['0.017', '0.023', '0.023', '0.937']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.169, 0.923, 0.842, 0.951]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.089, 0.865, 0.925, 0.709]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
