d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
unstructured_text,none,false,EU_only,start,insufficient,"[0.128, 0.779, 0.877, 0.756]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M2 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.169, 0.97, 0.832, 0.903]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.146, 0.76, 0.961, 0.705]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,adequacy,start,insufficient,"[0.057, 0.731, 0.773, 0.853]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M3 -> M3 -> M2 -> M4 -> M3 -> M4 -> Reject_M4_c,8,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,36,Reject,c
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.024, 0.725, 0.731, 0.96]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,none,false,non_compliant,start,insufficient,"[0.176, 0.849, 0.829, 0.817]",M3,"['0.085', '0.115', '0.569', '0.231']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M2 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
video,none,false,EU_only,start,insufficient,"[0.023, 0.724, 0.972, 0.909]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,suboptimal,"[0.12, 0.842, 0.847, 0.915]",M4,"['0.015', '0.025', '0.046', '0.914']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
image,categorisation,false,EU_only,start,suboptimal,"[0.064, 0.816, 0.804, 0.838]",M4,"['0.017', '0.028', '0.025', '0.930']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.098, 0.797, 0.719, 0.892]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M2 -> M3 -> M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,11,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,30,Reject,d
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.114, 0.854, 0.889, 0.752]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.06, 0.76, 0.812, 0.734]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
image,categorisation,false,inadequate_SCC,start,suboptimal,"[0.057, 0.925, 0.944, 0.953]",M4,"['0.015', '0.040', '0.060', '0.886']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.028, 0.762, 0.94, 0.855]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,none,false,adequacy,start,insufficient,"[0.164, 0.785, 0.713, 0.848]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.047, 0.721, 0.88, 0.937]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,none,false,adequacy,start,insufficient,"[0.054, 0.794, 0.746, 0.845]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.15, 0.866, 0.8, 0.837]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.156, 0.819, 0.976, 0.97]",M2,"['0.001', '0.002', '0.990', '0.006']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,d
multimodal,categorisation,false,non_compliant,start,suboptimal,"[0.093, 0.987, 0.957, 0.906]",M4,"['0.008', '0.013', '0.210', '0.770']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M4 -> M3 -> M2 -> M3 -> M2 -> M2 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,11,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-100,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.162, 0.857, 0.935, 0.975]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,8,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,36,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.139, 0.705, 0.802, 0.976]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M1 -> M2 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.101, 0.709, 0.763, 0.724]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.055, 0.918, 0.782, 0.784]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,verification,high-risk,inadequate_SCC,start,insufficient,"[0.104, 0.901, 0.886, 0.797]",M3,"['0.006', '0.025', '0.951', '0.017']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,categorisation,false,adequacy,start,suboptimal,"[0.063, 0.953, 0.986, 0.829]",M4,"['0.017', '0.023', '0.023', '0.937']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,EU_only,start,insufficient,"[0.164, 0.922, 0.747, 0.76]",M1,"['0.215', '0.237', '0.194', '0.354']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_c,7,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,c
video,verification,high-risk,adequacy,start,suboptimal,"[0.082, 0.885, 0.879, 0.98]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.149, 0.796, 0.893, 0.759]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
multimodal,remote_id,high-risk,adequacy,start,suboptimal,"[0.067, 0.818, 0.832, 0.866]",M2,"['0.001', '0.003', '0.994', '0.001']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.026, 0.889, 0.708, 0.897]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
image,none,false,EU_only,start,optimal,"[0.038, 0.911, 0.985, 0.947]",M1,"['0.465', '0.344', '0.115', '0.077']",start,a_eval -> a_eval -> a_reject,M1 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.189, 0.751, 0.823, 0.783]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,non_compliant,start,insufficient,"[0.109, 0.802, 0.724, 0.856]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.054, 0.741, 0.875, 0.944]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.159, 0.784, 0.759, 0.875]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.066, 0.873, 0.804, 0.887]",M3,"['0.020', '0.084', '0.885', '0.011']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
video,categorisation,false,EU_only,start,insufficient,"[0.118, 0.838, 0.703, 0.911]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,verification,high-risk,inadequate_SCC,start,insufficient,"[0.179, 0.927, 0.968, 0.983]",M3,"['0.020', '0.056', '0.876', '0.048']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,remote_id,high-risk,adequacy,start,suboptimal,"[0.082, 0.916, 0.93, 0.977]",M2,"['0.001', '0.003', '0.994', '0.001']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M2 -> M2 -> M3 -> M2 -> M3 -> M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,14,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,24,Reject,d
video,none,false,inadequate_SCC,start,insufficient,"[0.028, 0.81, 0.734, 0.978]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.171, 0.779, 0.967, 0.7]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
structured,categorisation,false,EU_only,start,suboptimal,"[0.03, 0.832, 0.952, 0.984]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,EU_only,start,insufficient,"[0.197, 0.802, 0.885, 0.79]",M1,"['0.215', '0.237', '0.194', '0.354']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M2 -> M3 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_b,8,Reject_M4_b,"['0.250', '0.250', '0.250', '0.250']",final,36,Reject,b
image,none,false,inadequate_SCC,start,insufficient,"[0.154, 0.867, 0.896, 0.758]",M3,"['0.141', '0.256', '0.346', '0.256']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,verification,high-risk,adequacy,start,insufficient,"[0.158, 0.913, 0.753, 0.909]",M2,"['0.014', '0.043', '0.910', '0.034']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> M3 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.088, 0.745, 0.779, 0.733]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.076, 0.717, 0.85, 0.932]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M4 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,categorisation,false,EU_only,start,insufficient,"[0.09, 0.714, 0.72, 0.871]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,categorisation,false,adequacy,start,insufficient,"[0.2, 0.936, 0.749, 0.759]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.09, 0.87, 0.762, 0.91]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.062, 0.943, 0.721, 0.976]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-88,Reject,d
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.185, 0.87, 0.843, 0.852]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.074, 0.818, 0.866, 0.936]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.137, 0.941, 0.979, 0.775]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
video,none,false,inadequate_SCC,start,insufficient,"[0.095, 0.885, 0.709, 0.92]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.183, 0.789, 0.79, 0.895]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
unstructured_text,categorisation,false,EU_only,start,suboptimal,"[0.133, 0.816, 0.844, 0.843]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,remote_id,high-risk,EU_only,start,suboptimal,"[0.136, 0.93, 0.903, 0.944]",M2,"['0.002', '0.003', '0.993', '0.002']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.111, 0.794, 0.745, 0.765]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.154, 0.83, 0.865, 0.983]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,suboptimal,"[0.106, 0.956, 0.942, 0.98]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.114, 0.707, 0.775, 0.86]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.109, 0.827, 0.818, 0.976]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.083, 0.863, 0.939, 0.764]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,EU_only,start,insufficient,"[0.197, 0.79, 0.82, 0.944]",M2,"['0.035', '0.101', '0.785', '0.079']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.082, 0.942, 0.93, 0.785]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.107, 0.764, 0.859, 0.916]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.041, 0.715, 0.758, 0.746]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,none,false,adequacy,start,suboptimal,"[0.116, 0.898, 0.813, 0.82]",M1,"['0.283', '0.382', '0.232', '0.104']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,M1 -> M1 -> M1 -> M1 -> M1 -> M1 -> Accept_M1_b,6,Accept_M1_b,"['0.250', '0.250', '0.250', '0.250']",final,40,Accept,b
multimodal,verification,high-risk,adequacy,start,insufficient,"[0.05, 0.787, 0.857, 0.719]",M2,"['0.014', '0.043', '0.910', '0.034']",start,a_eval -> a_mitig -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M4 -> M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,37,Reject,d
video,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.038, 0.942, 0.889, 0.914]",M3,"['0.006', '0.037', '0.953', '0.004']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.128, 0.86, 0.843, 0.953]",M3,"['0.002', '0.006', '0.991', '0.001']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,d
structured,remote_id,high-risk,EU_only,start,suboptimal,"[0.127, 0.978, 0.81, 0.856]",M2,"['0.006', '0.008', '0.981', '0.005']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,verification,high-risk,non_compliant,start,insufficient,"[0.195, 0.968, 0.986, 0.771]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,adequacy,start,suboptimal,"[0.144, 0.891, 0.827, 0.909]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
image,remote_id,high-risk,EU_only,start,suboptimal,"[0.071, 0.803, 0.888, 0.882]",M2,"['0.004', '0.009', '0.983', '0.004']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.096, 0.765, 0.89, 0.955]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,verification,high-risk,non_compliant,start,insufficient,"[0.126, 0.709, 0.809, 0.967]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M3 -> M3 -> M4 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,11,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,30,Reject,d
unstructured_text,categorisation,false,EU_only,start,suboptimal,"[0.08, 0.845, 0.966, 0.885]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,verification,high-risk,non_compliant,start,insufficient,"[0.116, 0.803, 0.883, 0.737]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
video,remote_id,high-risk,non_compliant,start,insufficient,"[0.02, 0.706, 0.724, 0.757]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,remote_id,high-risk,adequacy,start,suboptimal,"[0.141, 0.896, 0.804, 0.906]",M2,"['0.004', '0.010', '0.983', '0.003']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
