d,b,r,c,k,m,m_metrics,initial_identified_model,actions_sequence,total_steps,final_state,total_reward
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.037, 0.763, 0.7, 0.715]",M2,a_accept,1,Accept_M2,19.0
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.01, 0.873, 0.793, 0.831]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.071, 0.706, 0.971, 0.846]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.166, 0.926, 0.887, 0.706]",M2,a_accept,1,Accept_M2,19.0
structured,categorisation,false,EU_only,start,suboptimal,"[0.013, 0.827, 0.819, 0.919]",M4,a_accept,1,Reject,70.0
unstructured_text,none,false,EU_only,start,insufficient,"[0.101, 0.814, 0.762, 0.961]",M1,a_accept,1,Accept_M1,53.0
unstructured_text,none,false,adequacy,start,insufficient,"[0.187, 0.752, 0.918, 0.955]",M1,a_accept,1,Accept_M1,53.0
unstructured_text,remote_id,high-risk,adequacy,start,optimal,"[0.017, 0.981, 0.955, 0.918]",M2,a_accept,1,Accept_M2,19.0
image,remote_id,high-risk,adequacy,start,insufficient,"[0.157, 0.971, 0.981, 0.966]",M2,a_accept,1,Accept_M2,19.0
image,none,false,adequacy,start,insufficient,"[0.127, 0.709, 0.855, 0.807]",M1,a_accept,1,Accept_M1,53.0
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.038, 0.944, 0.891, 0.785]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Reject,55.0
multimodal,categorisation,false,EU_only,start,insufficient,"[0.083, 0.909, 0.927, 0.719]",M4,a_accept,1,Reject,70.0
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.15, 0.841, 0.85, 0.812]",M3,a_eval -> a_accept,2,Reject,67.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.181, 0.895, 0.958, 0.799]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Accept_M2,4.0
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.126, 0.827, 0.772, 0.832]",M4,a_next -> a_accept,2,Reject,65.0
multimodal,verification,high-risk,adequacy,start,insufficient,"[0.16, 0.984, 0.915, 0.727]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.033, 0.736, 0.821, 0.968]",M3,a_accept,1,Accept_M3,-38.0
structured,verification,high-risk,non_compliant,start,insufficient,"[0.126, 0.969, 0.956, 0.73]",M3,a_eval -> a_accept,2,Accept_M2,16.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.085, 0.928, 0.841, 0.709]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Reject,55.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.055, 0.982, 0.725, 0.701]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,7,Accept_M2,1.0
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.096, 0.887, 0.821, 0.97]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Reject,61.0
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.156, 0.726, 0.945, 0.738]",M2,a_accept,1,Accept_M2,19.0
image,categorisation,false,non_compliant,start,insufficient,"[0.146, 0.817, 0.93, 0.787]",M4,a_reject -> a_next -> a_accept,3,Accept_M2,9.0
unstructured_text,none,false,EU_only,start,insufficient,"[0.138, 0.822, 0.726, 0.901]",M1,a_accept,1,Accept_M1,53.0
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.055, 0.725, 0.788, 0.726]",M3,a_eval -> a_accept,2,Accept_M2,16.0
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.038, 0.939, 0.861, 0.725]",M2,a_accept,1,Accept_M2,19.0
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.158, 0.919, 0.802, 0.717]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.038, 0.867, 0.967, 0.846]",M3,a_eval -> a_accept,2,Reject,67.0
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.075, 0.807, 0.971, 0.745]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,7,Accept_M2,1.0
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.039, 0.961, 0.98, 0.753]",M2,a_accept,1,Accept_M2,19.0
structured,none,false,non_compliant,start,insufficient,"[0.056, 0.819, 0.796, 0.728]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Accept_M2,10.0
image,remote_id,high-risk,EU_only,start,suboptimal,"[0.105, 0.931, 0.875, 0.947]",M2,a_accept,1,Accept_M2,19.0
image,categorisation,false,adequacy,start,insufficient,"[0.197, 0.919, 0.832, 0.706]",M4,a_accept,1,Reject,70.0
multimodal,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.07, 0.887, 0.876, 0.979]",M3,a_eval -> a_accept,2,Accept_M2,16.0
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.174, 0.843, 0.989, 0.715]",M4,a_accept,1,Reject,70.0
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.176, 0.712, 0.967, 0.838]",M2,a_accept,1,Accept_M2,19.0
structured,verification,high-risk,EU_only,start,suboptimal,"[0.107, 0.935, 0.966, 0.92]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.167, 0.943, 0.794, 0.959]",M2,a_accept,1,Accept_M2,19.0
